ts_code,symbol,name,enname,aliases
7203.T,7203.T,丰田汽车,Toyota Motor Corporation,Toyota|Toyota Motor|丰田|トヨタ
6758.T,6758.T,索尼集团,Sony Group Corporation,Sony|Sony Group|索尼|ソニー
9984.T,9984.T,软银集团,SoftBank Group Corp.,SoftBank|SoftBank Group|软银|ソフトバンク
8306.T,8306.T,三菱日联金融集团,Mitsubishi UFJ Financial Group,MUFG|Mitsubishi UFJ|三菱日联|三菱UFJ
6861.T,6861.T,基恩士,Keyence Corporation,Keyence|キーエンス
6501.T,6501.T,日立,Hitachi Ltd.,Hitachi|日立制作所|日立製作所
7974.T,7974.T,任天堂,Nintendo Co. Ltd.,Nintendo|任天堂
8035.T,8035.T,东京电子,Tokyo Electron Limited,Tokyo Electron|東京エレクトロン
9432.T,9432.T,日本电信电话,Nippon Telegraph and Telephone Corporation,NTT|Nippon Telegraph and Telephone|日本电信电话
9983.T,9983.T,迅销,Fast Retailing Co. Ltd.,Fast Retailing|Uniqlo|优衣库|迅销
8058.T,8058.T,三菱商事,Mitsubishi Corporation,Mitsubishi Corp|三菱商事
8001.T,8001.T,伊藤忠商事,ITOCHU Corporation,ITOCHU|伊藤忠
8031.T,8031.T,三井物产,Mitsui and Co. Ltd.,Mitsui|三井物产|三井物産
4502.T,4502.T,武田药品,Takeda Pharmaceutical Company,Takeda|武田药品|武田薬品
4568.T,4568.T,第一三共,Daiichi Sankyo Company,Daiichi Sankyo|第一三共
6098.T,6098.T,Recruit Holdings,Recruit Holdings Co. Ltd.,Recruit|リクルート
4063.T,4063.T,信越化学工业,Shin-Etsu Chemical Co. Ltd.,Shin-Etsu|信越化学
7741.T,7741.T,HOYA,HOYA Corporation,HOYA|豪雅
6954.T,6954.T,发那科,FANUC Corporation,FANUC|发那科|ファナック
6367.T,6367.T,大金工业,Daikin Industries Ltd.,Daikin|大金|ダイキン
6902.T,6902.T,电装,DENSO Corporation,DENSO|电装|デンソー
7267.T,7267.T,本田汽车,Honda Motor Co. Ltd.,Honda|本田|ホンダ
8316.T,8316.T,三井住友金融集团,Sumitomo Mitsui Financial Group,SMFG|三井住友
8411.T,8411.T,瑞穗金融集团,Mizuho Financial Group,Mizuho|瑞穗|みずほ
9433.T,9433.T,KDDI,KDDI Corporation,KDDI|au
9434.T,9434.T,软银通信,SoftBank Corp.,SoftBank Corp|软银通信
8766.T,8766.T,东京海上控股,Tokio Marine Holdings,Tokio Marine|东京海上
2914.T,2914.T,日本烟草,Japan Tobacco Inc.,JT|Japan Tobacco|日本烟草
3382.T,3382.T,Seven & i 控股,Seven and i Holdings,Seven Eleven|7-Eleven|7&i
4452.T,4452.T,花王,Kao Corporation,Kao|花王
